1.44 -0.158044 3.12253 0.5
1.45 -0.126745 3.13678 0.5
1.46 -0.0953187 3.14788 0.5
1.47 -0.0637975 3.15584 0.5
1.48 -0.0322125 3.16064 0.5
1.49 -0.000595267 3.16228 0.5
1.5 0.0310225 3.16076 0.5
1.51 0.0626093 3.15607 0.5
1.52 0.0941335 3.14824 0.5
1.53 0.125564 3.13725 0.5
1.54 0.156868 3.12313 0.5
1.55 0.188016 3.10588 0.5
1.56 0.218975 3.08553 0.5
1.57 0.249716 3.06209 0.5
1.58 0.280207 3.0356 0.5
1.59 0.310418 3.00606 0.5
1.6 0.340318 2.97352 0.5
1.61 0.369878 2.93801 0.5
1.62 0.399069 2.89956 0.5
1.63 0.42786 2.85821 0.5
1.64 0.456223 2.814 0.5
1.65 0.48413 2.76698 0.5
1.66 0.511554 2.71719 0.5
1.67 0.538465 2.66469 0.5
1.68 0.564838 2.60952 0.5
1.69 0.590647 2.55174 0.5
1.7 0.615865 2.49141 0.5
1.71 0.640467 2.42858 0.5
1.72 0.664428 2.36333 0.5
1.73 0.687726 2.29572 0.5
1.74 0.710335 2.22581 0.5
1.75 0.732234 2.15368 0.5
1.76 0.753401 2.07939 0.5
1.77 0.773815 2.00302 0.5
1.78 0.793455 1.92465 0.5
1.79 0.812302 1.84436 0.5
1.8 0.830336 1.76222 0.5
1.81 0.84754 1.67832 0.5
1.82 0.863897 1.59274 0.5
1.83 0.87939 1.50557 0.5
1.84 0.894003 1.41689 0.5
1.85 0.907723 1.3268 0.5
1.86 0.920535 1.23538 0.5
1.87 0.932426 1.14272 0.5
1.88 0.943385 1.04892 0.5
1.89 0.953401 0.954075 0.5
1.9 0.962464 0.858274 0.5
1.91 0.970564 0.761614 0.5
1.92 0.977694 0.664193 0.5
1.93 0.983846 0.566108 0.5
1.94 0.989014 0.467457 0.5
1.95 0.993193 0.368339 0.5
1.96 0.996379 0.268852 0.5
1.97 0.998569 0.169096 0.5
1.98 0.999761 0.069171 0.5
1.99 0.999952 -0.030823 0.5
2 0.999144 -0.130786 0.5
2.01 0.997337 -0.230619 0.5
2.02 0.994533 -0.33022 0.5
2.03 0.990734 -0.429492 0.5
2.04 0.985944 -0.528334 0.5
2.05 0.980169 -0.626648 0.5
2.06 0.973414 -0.724335 0.5
2.07 0.965685 -0.821298 0.5
2.08 0.95699 -0.91744 0.5
2.09 0.947339 -1.01266 0.5
2.1 0.93674 -1.10688 0.5
2.11 0.925205 -1.19998 0.5
2.12 0.912745 -1.29189 0.5
2.13 0.899372 -1.3825 0.5
2.14 0.885099 -1.47173 0.5
2.15 0.869942 -1.55949 0.5
2.16 0.853915 -1.64569 0.5
2.17 0.837034 -1.73024 0.5
2.18 0.819316 -1.81307 0.5
2.19 0.800778 -1.89408 0.5
2.2 0.78144 -1.9732 0.5
2.21 0.761321 -2.05034 0.5
2.22 0.74044 -2.12544 0.5
2.23 0.718819 -2.19841 0.5
2.24 0.69648 -2.26918 0.5
2.25 0.673443 -2.33768 0.5
2.26 0.649734 -2.40384 0.5
2.27 0.625374 -2.4676 0.5
2.28 0.60039 -2.5289 0.5
2.29 0.574805 -2.58766 0.5
2.3 0.548645 -2.64384 0.5
2.31 0.521937 -2.69737 0.5
2.32 0.494707 -2.74821 0.5
