0 -4.99996e-05	-0.00999983	1	0	100.005	inf
0.01 -3.5293e-23	9.99992e-05	1	0	100	inf
0.02 -4.99992e-09	-9.99975e-07	1	0	100	inf
0.03 -2.15412e-27	9.99983e-09	1	0	100	inf
0.04 -4.99988e-13	-9.99967e-11	1	0	100	inf
0.05 -7.88861e-31	9.99975e-13	1	0	100	inf
0.06 -4.99983e-17	-9.99958e-15	1	0	100	inf
0.07 -9.62965e-35	9.99967e-17	1	0	100	inf
0.08 -4.99979e-21	-9.9995e-19	1	0	100	inf
0.09 -4.89789e-39	9.99958e-21	1	0	100	inf
0.1 -4.99975e-25	-9.99942e-23	1	0	100	inf
0.11 -1.31535e-42	9.9995e-25	1	0	100	inf
0.12 -4.99971e-29	-9.99933e-27	1	0	100	inf
0.13 -1.89759e-46	9.99942e-29	1	0	100	inf
0.14 -4.99967e-33	-9.99925e-31	1	0	100	inf
0.15 -1.78184e-51	9.99933e-33	1	0	100	inf
0.16 -4.99963e-37	-9.99917e-35	1	0	100	inf
0.17 -6.5253e-55	9.99925e-37	1	0	100	inf
0.18 -4.99958e-41	-9.99908e-39	1	0	100	inf
0.19 -9.29304e-59	9.99917e-41	1	0	100	inf
0.2 -4.99954e-45	-9.999e-43	1	0	100	inf
0.21 -1.45852e-62	9.99908e-45	1	0	100	inf
0.22 -4.9995e-49	-9.99892e-47	1	0	100	inf
0.23 -1.78042e-66	9.999e-49	1	0	100	inf
0.24 -4.99946e-53	-9.99883e-51	1	0	100	inf
0.25 -2.53559e-70	9.99892e-53	1	0	100	inf
0.26 -4.99942e-57	-9.99875e-55	1	0	100	inf
0.27 -2.21086e-74	9.99883e-57	1	0	100	inf
0.28 -4.99938e-61	-9.99867e-59	1	0	100	inf
0.29 -2.33896e-78	9.99875e-61	1	0	100	inf
0.3 -4.99933e-65	-9.99858e-63	1	0	100	inf
0.31 -1.42759e-82	9.99867e-65	1	0	100	inf
0.32 -4.99929e-69	-9.9985e-67	1	0	100	inf
0.33 -1.34051e-86	9.99858e-69	1	0	100	inf
0.34 -4.99925e-73	-9.99842e-71	1	0	100	inf
0.35 -1.96364e-90	9.9985e-73	1	0	100	inf
0.36 -4.99921e-77	-9.99833e-75	1	0	100	inf
0.37 -2.09739e-94	9.99842e-77	1	0	100	inf
0.38 -4.99917e-81	-9.99825e-79	1	0	100	inf
0.39 -1.58494e-98	9.99833e-81	1	0	100	inf
0.4 -4.99913e-85	-9.99817e-83	1	0	100	inf
0.41 -1.48826e-102	9.99825e-85	1	0	100	inf
0.42 -4.99908e-89	-9.99808e-87	1	0	100	inf
0.43 -1.09004e-106	9.99817e-89	1	0	100	inf
